'ifis_id','link_id','lat','lng','type','title'
639,203777,41.577767,-93.605495,3,'Des Moines River blw Raccoon R. at Des Moines (DESI4-05485500)'
565,279554,41.778597,-94.492749,2,'Middle Raccoon River near Bayard (05483450)'
630,378371,42.251920,-93.996898,3,'Des Moines River near Stratford (STRI4-05481300)'
576,486916,43.212778,-95.239167,2,'Little Sioux River at 300th St near Spencer (06604440)'
551,323592,42.407764,-92.463245,2,'Black Hawk Creek at Hudson (05463500)'
1609,317961,41.964256,-92.636550,2,'Iowa River at County Highway E49 near Tama (05451770-TMAI4)'
561,372747,42.529194,-94.256694,2,'Lizard Creek near Fort Dodge (05480080)'
531,199682,41.556697,-90.687641,2,'Duck Creek at 110th Ave at Davenport (05422560)'
615,368142,41.103194,-91.063528,2,'Iowa River at Oakville (OKVI4-05465700)'
537,277520,41.964162,-92.313242,2,'Salt Creek near Elberon (05452000)'
553,221201,41.669603,-91.350636,2,'Hoover Cr at Hoover Nat Hist Site at West Branch (05464942)'
660,326674,41.964432,-95.972788,3,'Little Sioux River near Turin (TURI4-06607500)'
633,334360,42.169083,-94.726028,3,'North Raccoon River near Lanesboro (LKCI4-05482430)'
1023,416772,42.874100,-91.382700,4,'Roberts Creek at Hwy 13 at Elkader (RBRTSCR01)'
642,162846,41.337216,-93.486325,3,'South River near Ackworth (AKWI4-05487470)'
566,279587,41.687209,-94.371077,2,'Middle Raccoon River at Panora (05483600)'
548,522792,43.283472,-92.852500,2,'Cedar River at Osage (05457505)'
532,199722,41.546144,-90.524024,2,'Duck Creek at DC Golf Course at Davenport (05422600)'
620,272942,41.355699,-92.657359,3,'South Skunk River near Oskaloosa (OOAI4-05471500)'
1663,279791,42.053529,-93.698584,4,'Onion Creek at N 500th Ave at Ames (ONIONCR01)'
1778,420407,42.947141,-91.794949,4,'Otter Creek at West Union (OTTERCR04)'
1651,293976,42.096392,-93.659041,4,'Gilbert Creek at 520th Ave at Gilbert (GLBRTCR01)'
650,387745,42.693333,-96.370000,3,'Perry Creek near Milnerville (PCMI4-06599900)'
542,230973,41.700000,-91.562778,2,'Muddy Creek at Coralville (05454090)'
1691,191552,41.102111,-95.718417,2,'Keg Creek at Epperson Ave near Glenwood (06805850)'
593,426049,42.083339,-91.267382,3,'Wapsipinicon River near Anamosa (ANSI4-05421740)'
571,203851,41.489400,-93.278250,2,'Des Moines River near Swan (05487520)'
1610,367697,42.170556,-92.023333,2,'Cedar River at Vinton (05464315)'
645,204046,41.010848,-92.411296,3,'Des Moines River at Ottumwa (OTMI4-05489500)'
559,555608,43.618333,-94.984722,3,'Des Moines River at Jackson, MN (JCKM5-05476000)'
590,368221,42.469988,-91.448715,3,'Maquoketa River at Manchester (MCHI4-05416900)'
1660,311903,42.246787,-93.796032,4,'S Branch Crooked Creek at Briggs-Wood Rd at Stanhope (SBRCRKD01)'
1040,480352,43.213628,-92.277270,4,'Crane Creek at 100th St at Jericho (CRANECR02)'
1659,305680,42.185820,-93.757049,4,'Talynns Creek at V Ave at Story City (TALYNNS01)'
575,326673,41.964432,-95.991955,2,'Monona-Harrison Ditch near Turin (06602400)'
601,522855,43.062195,-92.673884,3,'Cedar River at Charles City (CCYI4-05457700)'
556,114284,40.925305,-91.674220,2,'Cedar Creek near Oakland Mills (05473400)'
634,334449,41.988039,-94.376913,3,'North Raccoon River near Jefferson (EFWI4-05482500)'
1683,360567,42.470556,-91.122222,2,'NF Maquoketa River below Bear Cr at Dyersville (05418110)'
579,92010,40.821872,-92.891254,2,'Chariton River near Rathbun (06903900)'
597,318079,41.812726,-92.064792,3,'Iowa River at Marengo (MROI4-05453100)'
1777,418944,42.950064,-91.753865,4,'Otter Creek at West Union (OTTERCR03)'
1007,292481,42.094700,-91.638100,4,'Dry Creek at County Home Rd at Robins (DRYCRK02)'
595,437890,42.759944,-93.621849,3,'Iowa River near Rowan (ROWI4-05449500)'
649,465030,43.214426,-96.294471,3,'Rock River near Rock Valley (RKVI4-06483500)'
599,197256,41.469739,-91.714613,3,'English River at Kalona (KALI4-05455500)'
1664,278636,42.040508,-93.776433,4,'South Onion Creek Tributary 1 at U Ave at Boone (SONIONTR01)'
664,216714,40.873055,-95.580275,3,'West Nishnabotna River at Randolph (RDPI4-06808500)'
657,487052,42.895811,-95.243330,3,'Little Sioux River at Linn Grove (LNNI4-06605850)'
1657,289936,42.121699,-93.755448,4,'Prairie Creek at V Ave at Gilbert (PRAIRIE01)'
529,426130,41.971944,-90.960000,2,'Wapsipinicon River at Oxford Mills (05421760)'
1006,292500,42.047700,-91.666500,4,'Dry Creek at Boyson Rd NE at Cedar Rapids (DRYCRK01)'
1653,307864,42.180817,-93.757788,4,'Squaw Creek at 120th St at Story City (SQWCR04)'
611,367769,42.069163,-91.785180,2,'Cedar River at Blairs Ferry Rd at Palo (PLOI4-05464420)'
550,432794,43.005389,-92.925583,2,'Shell Rock River near Rockford (05460400)'
623,555675,43.397459,-94.844153,3,'Des Moines River at Estherville (ESVI4-05476500)'
570,229021,41.613878,-93.545493,2,'Fourmile Creek at Des Moines (05485640)'
616,313504,42.066513,-93.620134,3,'South Skunk River near Ames (AMEI4-05470000)'
526,314529,42.164405,-90.728246,2,'North Fork Maquoketa River near Fulton (05418400)'
1658,286370,42.122995,-93.833387,4,'Prairie Creek at 160th St at Boone (PRAIRIE02)'
643,203941,41.281391,-92.861504,3,'Des Moines River near Tracy (TRCI4-05488500)'
552,309414,42.251658,-92.298798,2,'Wolf Creek near Dysart (05464220)'
564,334282,42.354427,-94.990822,2,'North Raccoon River near Sac City (05482300)'
563,378537,41.680544,-93.668276,2,'Des Moines River near Saylorville (05481650)'
1002,480429,43.001500,-91.969100,4,'Crane Creek at Spruce Rd at Hawkeye (CRANECR01)'
648,553137,43.422972,-96.164887,3,'Rock River below Tom Creek at Rock Rapids (RAPI4-06483290)'
607,350386,42.572759,-92.617970,3,'Beaver Creek at New Hartford (NHRI4-05463000)'
577,216755,40.687139,-95.600222,2,'West Nishnabotna River near Riverton (06808820)'
1668,319668,42.263424,-93.815699,4,'N Branch Crooked Creek at Inkpaduta Ave at Stanhope (NBRCRKD01)'
534,323529,42.314984,-93.152425,2,'South Fork Iowa River NE at New Providence (05451210)'
587,434365,43.054188,-91.809098,3,'Turkey River near Eldorado (EDRI4-05411850)'
519,503998,43.406913,-91.899046,2,'Upper Iowa River at Bluffton (05387440)'
632,378559,41.612489,-93.621051,3,'Des Moines River at 2nd Ave at Des Moines (DMOI4-05482000)'
653,450755,42.981931,-96.001129,3,'Floyd River at Alton (ALTI4-06600100)'
612,367813,41.971945,-91.667124,3,'Cedar River at Cedar Rapids (CIDI4-05464500)'
562,412870,42.724417,-93.946694,2,'Boone River near Goldfield (05480820)'
602,522951,42.737220,-92.470090,3,'Cedar River at Waverly (WVLI4-05458300)'
539,230601,41.749447,-92.182127,2,'Big Bear Creek at Ladora (05453000)'
655,374994,42.226935,-96.078072,3,'West Fork Ditch at Hornick (HOKI4-06602020)'
672,83159,40.800561,-93.192430,3,'South Fork Chariton River near Promise City (PRMI4-06903700)'
624,555741,43.126111,-94.705833,3,'Des Moines River at Emmetsburg (EMTI4-05476590)'
585,504030,43.304889,-91.795543,3,'Upper Iowa River at Decorah (DEHI4-05387500)'
641,179425,41.424158,-93.587439,3,'Middle River near Indianola (IDNI4-05486490)'
557,110818,41.006973,-91.551550,2,'Big Creek near Mount Pleasant (05473450)'
603,522980,42.648316,-92.465186,3,'Cedar River at Janesville (JANI4-05458500)'
618,272678,42.006653,-93.595495,3,'South Skunk River below Squaw Creek near Ames (AESI4-05471000)'
1746,279783,42.049135,-93.751343,4,'Squaw Creek Tributary at Stratford (SQWTRB01)'
1033,434408,42.997700,-91.657900,4,'Turkey River at Mill St at Clermont (TKYRV02)'
543,226541,41.718346,-91.740174,2,'Clear Creek near Oxford (05454220)'
524,399598,42.844139,-91.818167,2,'Volga River at Fayette (05412340)'
549,509679,43.033280,-92.503544,2,'Little Cedar River near Ionia (05458000)'
640,178416,41.457907,-93.654969,3,'North River near Norwalk (NRWI4-05486000)'
574,143605,41.300553,-93.045481,2,'English Creek near Knoxville (05488200)'
606,432886,42.711925,-92.582966,3,'Shell Rock River at Shell Rock (SHRI4-05462000)'
750,483577,43.327275,-92.080278,4,'Turkey River at 345th St at Cresco (TKYRV03)'
656,448250,43.128026,-95.210830,3,'Ocheyedan River near Spencer (SPOI4-06605000)'
594,426239,41.766974,-90.534859,3,'Wapsipinicon River near De Witt (DEWI4-05422000)'
540,318208,41.715293,-91.530170,2,'Iowa River below Coralville Dam near Coralville (05453520)'
591,285449,42.083353,-90.632912,3,'Maquoketa River near Maquoketa (MAQI4-05418500)'
538,245378,41.834997,-92.386297,2,'Walnut Creek near Hartwick (05452200)'
670,79118,40.640280,-93.808280,3,'Thompson River at Davis City (DVSI4-06898000)'
749,434447,42.924405,-91.526782,4,'Turkey River at Cable Ave at Elgin (TKYRV01)'
598,318225,41.656683,-91.541002,3,'Iowa River at Iowa City (IOWI4-05454500)'
629,412946,42.432475,-93.805776,3,'Boone River near Webster City (WBCI4-05481000)'
527,425748,42.836091,-92.257400,2,'Wapsipinicon River near Tripoli (05420680)'
728,277781,42.031110,-91.611701,4,'Indian Creek at Marion Blvd at Marlon (INDCR03)'
572,132569,41.246639,-93.290167,2,'White Breast Creek near Dallas (05487980)'
752,399641,42.837939,-91.656859,4,'Volga River at South Mill St at Wadena (VLGARV02)'
555,273178,41.088611,-91.718583,2,'Skunk River at Merrimac (05473065)'
659,326618,42.156934,-95.810007,3,'Maple River at Mapleton (MAPI4-06607200)'
727,277792,41.994834,-91.617753,4,'Indian Creek at Cottage Grove Ave SE at Cedar Rapids (INDCR02)'
1655,316705,42.267459,-93.892888,4,'Squaw Creek at 360th St at Stratford (SQWCR07)'
523,483619,43.207278,-91.950333,2,'Turkey River at Spillville (05411600)'
569,228998,41.717377,-93.570133,2,'Fourmile Creek near Ankeny (05485605)'
605,465190,43.164962,-93.192703,3,'Winnebago River at Mason City (MCWI4-05459500)'
586,504104,43.421084,-91.508752,3,'Upper Iowa River near Dorchester (DCHI4-05388250)'
726,277803,41.976434,-91.578120,4,'Indian Creek at Mt. Vernon Rd SE at Cedar Rapids (INDCR01)'
1688,367916,41.787222,-91.313750,2,'Cedar River at Cedar Bluff (05464780)'
588,434478,42.843485,-91.401277,3,'Turkey River above French Hollow Cr at Elkader (EKDI4-05412020)'
666,157405,41.008604,-95.241658,3,'East Nishnabotna River at Red Oak (RDOI4-06809500)'
1035,399665,42.801500,-91.537200,4,'Volga River at Domino Rd at Volga (VLGARV01)'
668,98104,40.743278,-95.014194,3,'Nodaway River at Clarinda (ICLI4-06817000)'
546,221500,41.606405,-91.615724,2,'Old Mans Creek near Iowa City (05455100)'
1013,428863,43.008900,-91.869400,4,'Little Turkey River at Nature Rd at Eldorado (LTLTKY01)'
600,318272,41.423139,-91.475278,3,'Iowa River near Lone Tree (LNTI4-05455700)'
636,197446,41.533878,-93.949950,3,'Raccoon River at Van Meter (VNMI4-05484500)'
621,240462,41.300845,-92.204626,3,'North Skunk River near Sigourney (SIGI4-05472500)'
578,157521,40.694611,-95.562583,3,'East Nishnabotna River near Riverton (06809900)'
544,226574,41.676682,-91.598781,2,'Clear Creek near Coralville (05454300)'
1748,295251,42.129238,-93.795597,4,'Montgomery Creek at Boone (MNTGMRY02)'
658,487254,42.482278,-95.792889,3,'Little Sioux River at Correctionville (CRRI4-06606600)'
635,202584,41.589432,-94.151346,3,'South Raccoon River at Redfield (REDI4-05484000)'
625,555865,42.719416,-94.220518,3,'Des Moines River at Humboldt (HBTI4-05476750)'
604,406874,42.629426,-92.543522,3,'West Fork Cedar River at Finchford (FNHI4-05458900)'
619,272783,41.681378,-93.246594,3,'South Skunk River at Colfax (CFXI4-05471050)'
525,399711,42.753875,-91.369025,2,'Volga River at Littleport (05412400)'
662,273761,41.642490,-95.782786,3,'Boyer River at Logan (LGNI4-06609500)'
667,157543,40.601667,-95.645000,3,'Nishnabotna River above Hamburg (HMBI4-06810000)'
535,270936,42.008878,-92.852421,2,'Timber Creek near Marshalltown (05451700)'
654,397674,42.576660,-96.311416,3,'Floyd River at James (JMEI4-06600500)'
1041,467346,43.183643,-92.164472,4,'Little Turkey River at 120th St at Saude (LTLTKY02)'
567,197489,41.531712,-93.781973,2,'Raccoon River near West Des Moines (05484600)'
671,104818,40.951890,-93.259848,3,'Chariton River near Chariton (CHTI4-06903400)'
626,463732,43.082278,-94.230861,3,'East Fork Des Moines River near Algona (AGNI4-05478265)'
637,197506,41.561656,-93.703554,3,'Raccoon River at 63rd St at Des Moines (DMWI4-05484650)'
1652,292227,42.123027,-93.715057,4,'Squaw Creek at 160th St at Gilbert (SQWCR03)'
1661,269719,42.002963,-93.717909,4,'Worrell Creek at X Ave at Ames (WORRELL01)'
554,258321,41.805266,-93.309374,2,'Indian Creek near Mingo (05471200)'
638,197517,41.581656,-93.642996,3,'Raccoon River at Fleur Drive at Des Moines (DEMI4-05484900)'
521,447887,43.111927,-91.265132,2,'Yellow River near Ion (05389000)'
1020,418968,42.956400,-91.626600,4,'Otter Creek at Mill St at Elgin (OTTRCRK01)'
673,92050,40.692517,-92.772418,3,'Chariton River near Moulton (MOLI4-06904010)'
622,273299,40.753650,-91.277094,3,'Skunk River at Augusta (AGSI4-05474000)'
592,425876,42.463598,-91.895172,3,'Wapsipinicon River at Independence (IDPI4-05421000)'
747,292246,42.036626,-93.645004,4,'Squaw Creek at Stange Rd at Ames (SQWCR02)'
644,108201,41.219002,-92.908533,3,'Cedar Creek near Bussey (BSSI4-05489000)'
617,292251,42.023042,-93.630496,3,'Squaw Creek at Ames (AMWI4-05470500)'
628,378268,42.508303,-94.203573,3,'Des Moines River at Fort Dodge (FODI4-05480500)'
746,292254,42.013553,-93.610153,4,'Squaw Creek at S outh Duff Ave at Ames (SQWCR01)'
646,204188,40.727806,-91.959617,3,'Des Moines River at Keosauqua (KEQI4-05490500)'
1665,280498,42.055509,-93.776217,4,'South Onion Creek at U Ave at Boone (SONIONCR01)'
1654,307846,42.227029,-93.815652,4,'Squaw Creek at Inkapudta Ave at Stanhope (SQWCR05)'
613,368052,41.409192,-91.290434,3,'Cedar River near Conesville (CNEI4-05465000)'
1662,277945,42.038027,-93.698624,4,'Clear Creek at 500th Ave at Ames (CLEARCR01)'
568,217531,41.587211,-93.703276,2,'Walnut Creek at Des Moines (05484800)'
560,407487,42.805556,-94.462222,2,'Pilot Creek at County Hwy P15 near Rolfe (05476735)'
541,227265,41.700017,-91.487668,2,'Rapid Creek near Iowa City (05454000)'
536,255051,41.899439,-92.474355,2,'Richland Creek near Haven (05451900)'
547,522692,43.637222,-92.974444,2,'Cedar River near Austin, MN (05457000)'
669,78279,40.660543,-94.716636,3,'East Fork 102 River at Bedford (BDFI4-06819185)'
729,293321,42.093797,-91.560844,4,'Indian Creek at County Home Rd at Marion (INDCR04)'
573,203920,41.360553,-92.973256,2,'Des Moines River near Pella (05488110)'
522,431052,43.040817,-91.206519,2,'Bloody Run Creek near Marquette (05389400)'
1656,301218,42.192334,-93.776244,4,'Glacial Creek at U Ave at Story City (GLACIAL01)'
608,367567,42.537583,-92.443306,3,'Cedar River at Cedar Falls (CEDI4-05463050)'
596,317905,42.065821,-92.907700,3,'Iowa River at Marshalltown (MIWI4-05451500)'
631,275929,41.688322,-93.735500,3,'Beaver Creek near Grimes (GRMI4-05481950)'
627,463834,42.723582,-94.193489,3,'East Fork Des Moines River at Dakota City (DAKI4-05479000)'
647,74725,40.769466,-92.418796,2,'Fox River at Bloomfield (BMFI4-05494300)'
609,367593,42.495542,-92.334352,3,'Cedar River at Waterloo (ALOI4-05464000)'
589,434514,42.739988,-91.261799,3,'Turkey River at Garber (GRBI4-05412500)'
665,178160,41.346101,-95.076936,3,'East Nishnabotna River near Atlantic (ATCI4-06809210)'
661,278516,41.830544,-95.931399,3,'Soldier River at Pisgah (PSGI4-06608500)'
528,326825,42.195833,-91.422778,2,'Buffalo Creek South of Prairieburg (05421682)'
1667,285178,42.080947,-93.796038,4,'North Onion Creek at T Ave at Boone (NONIONCR02)'
614,368123,41.178086,-91.182094,3,'Iowa River at Wapello (WAPI4-05465500)'
663,216572,41.389992,-95.371667,3,'West Nishnabotna River at Hancock (HNKI4-06807410)'
1666,285182,42.066943,-93.756972,4,'North Onion Creek at V Ave at Boone (NONIONCR01)'
