'ifis_id','link_id','lat','lng','type','title','upstream_area'
1637,217517,41.6106042292,-93.7728928408,3,'Walnut Creek at Clive (CLVI4)',54
565,279554,41.7790851593,-94.4887148561,2,'Middle Raccoon River near Bayard (05483450)',367
624,555741,43.124186893,-94.7066317361,3,'Des Moines River at Emmetsburg (EMTI4-05476590)',1669
670,79118,40.6405909591,-93.8032535886,3,'Thompson River at Davis City (DVSI4-06898000)',698
1608,258636,41.9153668474,-90.5976474464,2,'Silver Creek at Welton (05421890)',10
547,522692,43.6419978297,-92.977627126,2,'Cedar River near Austin - MN (05457000),400
577,216755,40.6857190414,-95.6003885003,2,'West Nishnabotna River near Riverton (06808820)',1647
525,399711,42.7527748818,-91.3722848733,2,'Volga River at Littleport (05412400)',351
566,279587,41.6872757059,-94.375059067,2,'Middle Raccoon River at Panora (05483600)',411
544,226574,41.6774058183,-91.5996080603,2,'Clear Creek near Coralville (05454300)',98
567,197489,41.5327019907,-93.7796654697,2,'Raccoon River near West Des Moines (05484600)',3491
523,483619,43.2082159568,-91.9502278432,2,'Turkey River at Spillville (05411600)',177
563,378537,41.6781230957,-93.6675573219,2,'Des Moines River near Saylorville (05481650)',5892
596,317905,42.0660139169,-92.9072899594,3,'Iowa River at Marshalltown (MIWI4-05451500)',1534
532,199722,41.5455197609,-90.5213966993,2,'Duck Creek at DC Golf Course at Davenport (05422600)',58
651,387769,42.6163021948,-96.3735583446,3,'Perry Creek near Hinton (PCHI4-06599950)',33
520,462933,43.2907349707,-91.8044398026,2,'Dry Run Creek near Decorah (05387490)',21
618,272678,42.0049468758,-93.593534007,3,'South Skunk River below Squaw Creek near Ames (AESI4-05471000)',563
570,229021,41.6098342036,-93.5387075968,2,'Fourmile Creek at Des Moines (05485640)',91
553,221201,41.6701323436,-91.3485194023,2,'Hoover Cr at Hoover Nat Hist Site at West Branch (05464942)',3
1691,191552,41.1052113657,-95.7175374513,2,'Keg Creek at Epperson Ave near Glenwood (06805850)',154
605,465190,43.1622746697,-93.1918040862,3,'Winnebago River at Mason City (MCWI4-05459500)',484
548,522792,43.2811868355,-92.856585243,2,'Cedar River at Osage (05457505)',841
550,432794,43.0083968463,-92.9305131975,2,'Shell Rock River near Rockford (05460400)',1229
633,334360,42.168459856,-94.7269819029,3,'North Raccoon River near Lanesboro (LKCI4-05482430)',1260
559,555608,43.6168798363,-94.9860146063,3,'Des Moines River at Jackson – MN (JCKM5-05476000)',1260
545,216095,41.6502564193,-91.5072374481,2,'South Branch Ralston Creek at Iowa City (05455010)',3
586,504104,43.4236828421,-91.514181806,3,'Upper Iowa River near Dorchester (DCHI4-05388250)',769
607,350386,42.5719594611,-92.614767299,3,'Beaver Creek at New Hartford (NHRI4-05463000)',349
558,555539,43.8909926368,-95.1613800351,2,'Des Moines River near Windom -  MN (05475350)',1113
639,203777,41.5786171116,-93.606193438,3,'Des Moines River blw Raccoon R. at Des Moines (DESI4-05485500)',9926
575,326673,41.9651054065,-95.9809326877,2,'Monona-Harrison Ditch near Turin (06602400)',764
1609,317961,41.9624508371,-92.6314682098,2,'Iowa River at County Highway E49 near Tama (05451770-TMAI4)',1879
635,202584,41.5878077249,-94.1531914664,3,'South Raccoon River at Redfield (REDI4-05484000)',972
1693,264985,41.920552193,-95.702232193,2,'Willow Creek near Soldier (06609560)',29
528,326825,42.2018686645,-91.4255696352,2,'Buffalo Creek South of Prairieburg (05421682)',189
555,273178,41.0970721742,-91.714790281,2,'Skunk River at Merrimac (05473065)',3245
562,412870,42.7208943776,-93.9489833034,2,'Boone River near Goldfield (05480820)',418
534,323529,42.3138690896,-93.1509478771,2,'South Fork Iowa River NE at New Providence (05451210)',225
1686,207755,41.5915562448,-92.3517074574,2,'Deep River at Deep River (05455230)',30
626,463732,43.08187,-94.22981,3,'East Fork Des Moines River near Algona (AGNI4-05478265)',885
531,199682,41.555529442,-90.6840152905,2,'Duck Creek at 110th Ave at Davenport (05422560)',16
546,221500,41.607803,-91.615537,2,'Old Mans Creek near Iowa City (05455100)',201
1626,445204,43.1225727489,-93.3910212489,3,'Clear Lake at Clear Lake (05460000-CLKI4)',22
1688,367916,41.7842860981,-91.3097142561,2,'Cedar River at Cedar Bluff (05464780)',7055
543,226541,41.7176720523,-91.7389947213,2,'Clear Creek near Oxford (05454220)',61
521,447887,43.1158602538,-91.2626034851,2,'Yellow River near Ion (05389000)',219
638,197517,41.5741776562,-93.6440709685,3,'Raccoon River at Fleur Drive at Des Moines (DEMI4-05484900)',3612
606,432886,42.7090775633,-92.5787807596,3,'Shell Rock River at Shell Rock (SHRI4-05462000)',1711
640,178416,41.4549583332,-93.6509271081,3,'North River near Norwalk (NRWI4-05486000)',350
601,522855,43.061573029,-92.6714917132,3,'Cedar River at Charles City (CCYI4-05457700)',1077
587,434365,43.0562559095,-91.8066995609,3,'Turkey River near Eldorado (EDRI4-05411850)',644
620,272942,41.3551515213,-92.6570676827,3,'South Skunk River near Oskaloosa (OOAI4-05471500)',1657
684,203990,41.1543830269,-92.6395148217,3,'Des Moines River near Eddyville (EDYI4)',13178
1687,459719,43.2125881396,-93.2074308946,2,'Spring Creek near Mason City (05459490)',31
600,318272,41.4249995279,-91.4796012312,3,'Iowa River near Lone Tree (LNTI4-05455700)',4291
611,367769,42.0690315392,-91.782351474,2,'Cedar River at Blairs Ferry Rd at Palo (PLOI4-05464420)',6323
576,486916,43.2103188065,-95.2370554926,2,'Little Sioux River at 300th St near Spencer (06604440)',529
647,74725,40.769016,-92.41716,2,'Fox River at Bloomfield (BMFI4-05494300)',87
1681,505703,43.4523066989,-91.50168848,2,'Waterloo Creek near Dorchester (05388310)',43
671,104818,40.9517195373,-93.2596674445,3,'Chariton River near Chariton (CHTI4-06903400)',185
526,314529,42.1633535635,-90.7268514965,2,'North Fork Maquoketa River near Fulton (05418400)',503
535,270936,42.0075075383,-92.8515220965,2,'Timber Creek near Marshalltown (05451700)',119
561,372747,42.52917,-94.2557625,2,'Lizard Creek near Fort Dodge (05480080)',269
617,292251,42.0218874171,-93.6307053751,3,'Squaw Creek at Ames (AMWI4-05470500)',213
609,367593,42.4924443533,-92.3305138492,3,'Cedar River at Waterloo (ALOI4-05464000)',5133
1692,78897,40.743523192,-95.1284579063,2,'Snake Creek near Yorktown (06811875)',10
1774,418967,42.9531798002,-91.6405121396,2,'Otter Creek at Elgin (05411900)',0
629,412946,42.4309224666,-93.8069861595,3,'Boone River near Webster City (WBCI4-05481000)',840
641,179425,41.4237640983,-93.5892168994,3,'Middle River near Indianola (IDNI4-05486490)',499
604,406874,42.6315613043,-92.5411729154,3,'West Fork Cedar River at Finchford (FNHI4-05458900)',852
650,387745,42.6920739756,-96.3706721914,3,'Perry Creek near Milnerville (PCMI4-06599900)',15
529,426130,41.972579278,-90.9559217898,2,'Wapsipinicon River at Oxford Mills (05421760)',1807
660,326674,41.96172,-95.9766936566,3,'Little Sioux River near Turin (TURI4-06607500)',764
619,272783,41.6817796269,-93.2412838006,3,'South Skunk River at Colfax (CFXI4-05471050)',813
1682,360958,42.561024,-90.8552,2,'Middle Fk Little Maquoketa R near Rickardsville (05414400)',31
656,448250,43.1284275566,-95.2060961766,3,'Ocheyedan River near Spencer (SPOI4-06605000)',424
645,204046,41.0111684572,-92.4094861693,3,'Des Moines River at Ottumwa (OTMI4-05489500)',13421
556,114284,40.923699059,-91.6707295618,2,'Cedar Creek near Oakland Mills (05473400)',533
594,426239,41.7683243146,-90.531744498,3,'Wapsipinicon River near De Witt (DEWI4-05422000)',2287
603,522980,42.6480186213,-92.464184654,3,'Cedar River at Janesville (JANI4-05458500)',1676
631,275929,41.6880245,-93.73315,3,'Beaver Creek near Grimes (GRMI4-05481950)',371
673,92050,40.6909049197,-92.7712579645,3,'Chariton River near Moulton (MOLI4-06904010)',741
652,361015,42.5351702375,-96.4105378098,3,'Perry Creek at 38th St at Sioux City (SIOI4-06600000)',64
654,397674,42.57636,-96.31144,3,'Floyd River at James (JMEI4-06600500)',889
549,509679,43.0340588595,-92.503590475,2,'Little Cedar River near Ionia (05458000)',298
615,368142,41.099828772,-91.067162456,2,'Iowa River at Oakville (OKVI4-05465700)',12605
711,317972,41.9526288571,-92.5736752295,3,'Iowa River near Tama (TAMI4)',1983
663,216572,41.3889635,-95.370605,3,'West Nishnabotna River at Hancock (HNKI4-06807410)',611
580,318037,41.8510043214,-92.2377681101,2,'Iowa River near Belle Plaine (BPLI4)',2463
519,503998,43.4089706464,-91.8944857704,2,'Upper Iowa River at Bluffton (05387440)',403
669,78279,40.66048,-94.716446,3,'East Fork 102 River at Bedford (BDFI4-06819185)',86
661,278516,41.8321160903,-95.9311690226,3,'Soldier River at Pisgah (PSGI4-06608500)',402
627,463834,42.7236228221,-94.1917145073,3,'East Fork Des Moines River at Dakota City (DAKI4-05479000)',1304
659,326618,42.1563771857,-95.8094666896,3,'Maple River at Mapleton (MAPI4-06607200)',671
585,504030,43.3035882348,-91.7958531222,3,'Upper Iowa River at Decorah (DEHI4-05387500)',491
599,197256,41.4703655,-91.7140408317,3,'English River at Kalona (KALI4-05455500)',576
571,203851,41.4877928056,-93.2796950662,2,'Des Moines River near Swan (05487520)',11752
664,216714,40.8745172314,-95.5797060143,3,'West Nishnabotna River at Randolph (RDPI4-06808500)',1324
1631,503963,43.4441528224,-92.0398585886,3,'Upper Iowa River at Kendallville (05387405)',282
612,367813,41.9731202171,-91.6671681979,3,'Cedar River at Cedar Rapids (CIDI4-05464500)',6492
557,110818,41.007552105,-91.551346315,2,'Big Creek near Mount Pleasant (05473450)',62
628,378268,42.5069393939,-94.2004608423,3,'Des Moines River at Fort Dodge (FODI4-05480500)',4244
602,522951,42.7378911699,-92.466498029,3,'Cedar River at Waverly (WVLI4-05458300)',1563
568,217531,41.5859785,-93.70306,2,'Walnut Creek at Des Moines (05484800)',78
634,334449,41.9875018266,-94.3749866721,3,'North Raccoon River near Jefferson (EFWI4-05482500)',1658
1612,313410,42.3003463879,-95.040431393,2,'Black Hawk Lake at Lake View (05482315)',34
655,374994,42.2283395392,-96.0778543424,3,'West Fork Ditch at Hornick (HOKI4-06602020)',524
1628,92010,40.8255412433,-92.8867709432,3,'Rathbun Reservoir at Moravia (06903880-RADI4)',542
613,368052,41.4057765534,-91.2913885389,3,'Cedar River near Conesville (CNEI4-05465000)',7753
588,434478,42.8414956913,-91.3930345165,3,'Turkey River above French Hollow Cr at Elkader (EKDI4-05412020)',911
653,450755,42.9804888221,-96.0029727466,3,'Floyd River at Alton (ALTI4-06600100)',268
614,368123,41.1730765509,-91.1700534643,3,'Iowa River at Wapello (WAPI4-05465500)',12483
649,465030,43.2164415586,-96.2927547621,3,'Rock River near Rock Valley (RKVI4-06483500)',1592
1627,503894,43.4676416504,-92.296237231,3,'Upper Iowa River at Lime Springs (05387320-LSPI4)',182
662,273761,41.6393000214,-95.7839531922,3,'Boyer River at Logan (LGNI4-06609500)',859
1610,367697,42.1725513134,-92.0194654038,2,'Cedar River at Vinton (05464315)',6022
672,83159,40.8008272684,-93.197505481,3,'South Fork Chariton River near Promise City (PRMI4-06903700)',169
578,157521,40.6885606618,-95.5773862205,3,'East Nishnabotna River near Riverton (06809900)',1109
530,209558,41.5495475035,-90.4493127775,2,'Crow Creek at Bettendorf (05422470)',19
668,98104,40.7379510402,-95.0132624615,3,'Nodaway River at Clarinda (ICLI4-06817000)',763
542,230973,41.7010007326,-91.56598566,2,'Muddy Creek at Coralville (05454090)',8
597,318079,41.8124865,-92.06442,3,'Iowa River at Marengo (MROI4-05453100)',2795
598,318225,41.6562000386,-91.5380887299,3,'Iowa River at Iowa City (IOWI4-05454500)',3267
1615,484173,43.3758436694,-95.1392899921,2,'West Okoboji Lake at Lakeside Lab near Milford (06604200)',23
657,487052,42.8944505276,-95.2414263049,3,'Little Sioux River at Linn Grove (LNNI4-06605850)',1541
658,487254,42.4713622504,-95.79412975,3,'Little Sioux River at Correctionville (CRRI4-06606600)',2479
591,285449,42.0852203216,-90.6323863927,3,'Maquoketa River near Maquoketa (MAQI4-05418500)',1550
533,451622,43.1019557008,-93.7835362804,2,'West Main Drainage Ditch 1 & 2 near Britt (05448400)',21
541,227265,41.6998206583,-91.4893023392,2,'Rapid Creek near Iowa City (05454000)',26
590,368221,42.4660799626,-91.4459869057,3,'Maquoketa River at Manchester (MCHI4-05416900)',282
705,334518,41.8340041937,-94.1284862906,3,'North Raccoon River near Perry (PROI4)',2191
623,555675,43.3956804999,-94.8414994999,3,'Des Moines River at Estherville (ESVI4-05476500)',1413
554,258321,41.8050052642,-93.3062520986,2,'Indian Creek near Mingo (05471200)',288
1633,486880,43.3224489767,-95.2016426149,3,'Little Sioux River at Milford (MIFI4)',333
630,378371,42.2491637491,-93.995202326,3,'Des Moines River near Stratford (STRI4-05481300)',5500
