"ifis_id","link_id","foreign_id","description"
647,74725,"05494300","Fox River at Bloomfield (BMFI4-05494300)"
669,78279,"06819185","East Fork 102 River at Bedford (BDFI4-06819185)"
1692,78897,"06811875","Snake Creek near Yorktown (06811875)"
670,79118,"06898000","Thompson River at Davis City (DVSI4-06898000)"
672,83159,"06903700","South Fork Chariton River near Promise City (PRMI4-06903700)"
579,92010,"06903900","Chariton River near Rathbun (06903900)"
1628,92010,"06903880","Rathbun Reservoir at Moravia (06903880-RADI4)"
673,92050,"06904010","Chariton River near Moulton (MOLI4-06904010)"
668,98104,"06817000","Nodaway River at Clarinda (ICLI4-06817000)"
671,104818,"06903400","Chariton River near Chariton (CHTI4-06903400)"
644,108201,"05489000","Cedar Creek near Bussey (BSSI4-05489000)"
557,110818,"05473450","Big Creek near Mount Pleasant (05473450)"
556,114284,"05473400","Cedar Creek near Oakland Mills (05473400)"
572,132569,"05487980","White Breast Creek near Dallas (05487980)"
574,143605,"05488200","English Creek near Knoxville (05488200)"
666,157405,"06809500","East Nishnabotna River at Red Oak (RDOI4-06809500)"
578,157521,"06809900","East Nishnabotna River near Riverton (06809900)"
667,157543,"06810000","Nishnabotna River above Hamburg (HMBI4-06810000)"
642,162846,"05487470","South River near Ackworth (AKWI4-05487470)"
665,178160,"06809210","East Nishnabotna River near Atlantic (ATCI4-06809210)"
640,178416,"05486000","North River near Norwalk (NRWI4-05486000)"
641,179425,"05486490","Middle River near Indianola (IDNI4-05486490)"
1691,191552,"06805850","Keg Creek at Epperson Ave near Glenwood (06805850)"
599,197256,"05455500","English River at Kalona (KALI4-05455500)"
636,197446,"05484500","Raccoon River at Van Meter (VNMI4-05484500)"
567,197489,"05484600","Raccoon River near West Des Moines (05484600)"
637,197506,"05484650","Raccoon River at 63rd St at Des Moines (DMWI4-05484650)"
638,197517,"05484900","Raccoon River at Fleur Drive at Des Moines (DEMI4-05484900)"
531,199682,"05422560","Duck Creek at 110th Ave at Davenport (05422560)"
532,199722,"05422600","Duck Creek at DC Golf Course at Davenport (05422600)"
635,202584,"05484000","South Raccoon River at Redfield (REDI4-05484000)"
639,203777,"05485500","Des Moines River blw Raccoon R. at Des Moines (DESI4-05485500)"
571,203851,"05487520","Des Moines River near Swan (05487520)"
1635,203919,"peli4","Des Moines River at Red Rock Reservoir (PELI4)"
573,203920,"05488110","Des Moines River near Pella (05488110)"
643,203941,"05488500","Des Moines River near Tracy (TRCI4-05488500)"
684,203990,"edyi4","Des Moines River near Eddyville (EDYI4)"
645,204046,"05489500","Des Moines River at Ottumwa (OTMI4-05489500)"
646,204188,"05490500","Des Moines River at Keosauqua (KEQI4-05490500)"
1686,207755,"05455230","Deep River at Deep River (05455230)"
530,209558,"05422470","Crow Creek at Bettendorf (05422470)"
545,216095,"05455010","South Branch Ralston Creek at Iowa City (05455010)"
663,216572,"06807410","West Nishnabotna River at Hancock (HNKI4-06807410)"
664,216714,"06808500","West Nishnabotna River at Randolph (RDPI4-06808500)"
577,216755,"06808820","West Nishnabotna River near Riverton (06808820)"
1637,217517,"clvi4","Walnut Creek at Clive (CLVI4)"
568,217531,"05484800","Walnut Creek at Des Moines (05484800)"
553,221201,"05464942","Hoover Cr at Hoover Nat Hist Site at West Branch (05464942)"
546,221500,"05455100","Old Mans Creek near Iowa City (05455100)"
